정규화,analyzer,ngram,min_df,sublinear,max_features,C,class_weight,피처수,Val_MacroF1
False,char_wb,"(2, 4)",3,False,0,1.0,balanced,7564,0.8487924416519241
False,char_wb,"(2, 4)",3,True,0,1.0,balanced,7564,0.8487924416519241
False,char_wb,"(2, 4)",3,False,100000,1.0,balanced,7564,0.8487924416519241
True,char_wb,"(2, 4)",3,False,0,0.1,balanced,6929,0.8487647471916622
True,char_wb,"(2, 4)",3,False,100000,0.1,balanced,6929,0.8487647471916622
False,char_wb,"(2, 5)",3,False,100000,1.0,balanced,8758,0.8485994299291842
False,char_wb,"(2, 5)",3,False,0,1.0,balanced,8758,0.8485994299291842
True,char_wb,"(2, 5)",3,False,100000,0.1,balanced,7943,0.8485804881388747
True,char_wb,"(2, 5)",3,False,0,0.1,balanced,7943,0.8485804881388747
True,char_wb,"(2, 3)",3,True,0,10.0,balanced,5165,0.8485297119487268
True,char_wb,"(2, 3)",3,True,100000,10.0,balanced,5165,0.8485297119487268
True,char_wb,"(2, 3)",3,True,100000,0.3,balanced,5165,0.8484275358212041
True,char_wb,"(2, 3)",3,True,0,0.3,balanced,5165,0.8484275358212041
False,char_wb,"(2, 5)",3,False,0,0.1,balanced,8758,0.8483667873205064
False,char_wb,"(2, 5)",3,False,100000,0.1,balanced,8758,0.8483667873205064
False,char,"(2, 3)",3,False,0,1.0,balanced,6222,0.8483305003916575
False,char,"(2, 3)",3,False,100000,1.0,balanced,6222,0.8483305003916575
True,char,"(2, 4)",3,False,0,1.0,balanced,8357,0.848328302626735
True,char,"(2, 4)",3,False,100000,1.0,balanced,8357,0.848328302626735
False,char,"(2, 5)",3,True,0,0.3,balanced,11726,0.8482113900482209
False,char,"(2, 5)",3,True,100000,0.3,balanced,11726,0.8482113900482209
True,char_wb,"(2, 4)",3,False,100000,3.0,balanced,6929,0.8481250103395112
True,char_wb,"(2, 4)",3,False,0,3.0,balanced,6929,0.8481250103395112
False,char_wb,"(2, 4)",2,True,100000,0.1,balanced,13220,0.8481163034866772
False,char_wb,"(2, 4)",2,True,0,0.1,balanced,13220,0.8481163034866772
False,char_wb,"(2, 4)",3,True,100000,0.1,balanced,7564,0.8480155733305618
False,char_wb,"(2, 4)",3,False,100000,0.1,balanced,7564,0.8480155733305618
False,char_wb,"(2, 4)",3,False,0,0.1,balanced,7564,0.8480155733305618
False,char_wb,"(2, 4)",3,True,0,0.1,balanced,7564,0.8480155733305618
True,char,"(2, 5)",3,False,100000,0.3,balanced,10454,0.8477370859325365
True,char,"(2, 5)",3,False,0,0.3,balanced,10454,0.8477370859325365
True,char_wb,"(2, 5)",3,False,100000,10.0,balanced,7943,0.8476856802581706
True,char_wb,"(2, 5)",3,False,0,10.0,balanced,7943,0.8476856802581706
True,char_wb,"(2, 5)",3,False,100000,3.0,balanced,7943,0.8473635580940572
True,char_wb,"(2, 5)",3,False,0,3.0,balanced,7943,0.8473635580940572
False,char,"(2, 3)",2,False,0,1.0,balanced,10526,0.8472896069153378
False,char,"(2, 3)",2,False,100000,1.0,balanced,10526,0.8472896069153378
True,char_wb,"(2, 3)",3,True,100000,3.0,balanced,5165,0.8472414288386511
True,char_wb,"(2, 3)",3,True,0,3.0,balanced,5165,0.8472414288386511
True,char,"(2, 5)",2,True,100000,1.0,balanced,20206,0.8471498164335601
True,char,"(2, 5)",2,True,0,1.0,balanced,20206,0.8471498164335601
True,char_wb,"(2, 4)",3,True,0,10.0,balanced,6929,0.8470762408509787
True,char_wb,"(2, 4)",3,True,100000,10.0,balanced,6929,0.8470762408509787
False,char_wb,"(2, 3)",3,False,0,0.1,balanced,5604,0.8470748273167603
False,char_wb,"(2, 3)",3,True,0,0.1,balanced,5604,0.8470748273167603
False,char_wb,"(2, 3)",3,False,100000,0.1,balanced,5604,0.8470748273167603
False,char_wb,"(2, 3)",3,True,100000,0.1,balanced,5604,0.8470748273167603
False,char_wb,"(2, 5)",3,True,100000,0.1,balanced,8758,0.8467972068035574
False,char_wb,"(2, 5)",3,True,0,0.1,balanced,8758,0.8467972068035574
True,char,"(2, 4)",3,True,100000,1.0,balanced,8357,0.8467445416437579
True,char,"(2, 4)",3,True,0,1.0,balanced,8357,0.8467445416437579
True,char,"(2, 5)",3,True,0,0.3,balanced,10454,0.846567411917968
True,char,"(2, 5)",3,True,100000,0.3,balanced,10454,0.846567411917968
False,char_wb,"(2, 4)",3,True,100000,0.3,balanced,7564,0.8464985400237198
