입력,analyzer,ngram,min_df,max_df,sublinear,use_idf,CV_MacroF1,CV_std
instt_title,char,"(2, 3)",1,1.0,True,False,0.8032884773964122,0.015966217036190992
instt_title,char_wb,"(2, 3)",1,1.0,True,True,0.8031132356055734,0.009812044736989194
instt_title,char_wb,"(2, 3)",1,0.9,True,True,0.8031132356055734,0.009812044736989194
instt_title,char_wb,"(2, 3)",1,1.0,True,False,0.8027225274673219,0.015037586066735668
instt_title,char_wb,"(2, 3)",1,0.9,True,False,0.8027225274673219,0.015037586066735668
instt_title,char_wb,"(2, 3)",2,0.9,True,False,0.8018736819991696,0.017449775071709427
instt_title,char_wb,"(2, 3)",2,1.0,True,False,0.8018736819991696,0.017449775071709427
title,char_wb,"(2, 4)",1,0.9,True,False,0.8017341572446209,0.019245324800446953
title,char_wb,"(2, 4)",1,1.0,True,False,0.8017341572446209,0.019245324800446953
instt_title,char,"(2, 3)",3,0.9,True,True,0.8011653888500255,0.01409562515863702
instt_title,char,"(2, 3)",3,1.0,True,True,0.8011653888500255,0.01409562515863702
instt_title,char,"(2, 3)",2,0.9,True,False,0.8002375962367221,0.015764579964397826
instt_title,char,"(2, 3)",2,1.0,True,False,0.8002375962367221,0.015764579964397826
title,char_wb,"(2, 4)",1,0.9,False,False,0.7995016476845883,0.019556398192952445
title,char_wb,"(2, 4)",1,1.0,False,False,0.7995016476845883,0.019556398192952445
instt_title,char,"(2, 4)",3,1.0,True,True,0.7988891420596701,0.013065502298305994
instt_title,char,"(2, 4)",3,0.9,True,True,0.7988891420596701,0.013065502298305994
instt_title,char,"(2, 3)",2,1.0,False,False,0.7988857716427058,0.019510874303721323
instt_title,char,"(2, 3)",2,0.9,False,False,0.7988857716427058,0.019510874303721323
instt_title,char,"(2, 3)",2,0.9,False,True,0.7987176006119194,0.01425208991278193
instt_title,char,"(2, 3)",2,1.0,False,True,0.7987176006119194,0.01425208991278193
instt_title,char,"(2, 3)",1,0.9,False,True,0.7986528872158183,0.011603357735509263
instt_title,char,"(2, 3)",1,1.0,False,True,0.7986528872158183,0.011603357735509263
instt_title,char,"(2, 3)",3,1.0,True,False,0.7983703664452733,0.016193909421110677
instt_title,char,"(2, 3)",3,0.9,True,False,0.7983703664452733,0.016193909421110677
instt_title,char,"(2, 3)",3,0.9,False,True,0.7983663819581144,0.011374681027470322
instt_title,char,"(2, 3)",3,1.0,False,True,0.7983663819581144,0.011374681027470322
instt_title,char_wb,"(2, 3)",1,1.0,False,True,0.7980998256489718,0.007831550725879483
instt_title,char_wb,"(2, 3)",1,0.9,False,True,0.7980998256489718,0.007831550725879483
instt_title,char,"(2, 5)",2,1.0,True,False,0.7980139273579128,0.018090265362584766
instt_title,char,"(2, 5)",2,0.9,True,False,0.7980139273579128,0.018090265362584766
