분류기,표현순위,입력,analyzer,ngram,min_df,max_df,sublinear,use_idf,설정,CV_MacroF1,CV_std
LogReg(OvR),3,title,char_wb,"(2, 3)",3,0.9,False,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.8136245976959431,0.026833674468026845
LinearSVC,5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 3.0, 'class_weight': 'balanced'}",0.8135761443550619,0.024105616674553104
LinearSVC,6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 3.0, 'class_weight': 'balanced'}",0.8135761443550619,0.024105616674553104
LinearSVC,7,title,char,"(2, 3)",1,0.9,True,False,"{'C': 10.0, 'class_weight': 'balanced'}",0.8135543212297176,0.01710770543515974
LinearSVC,8,title,char,"(2, 3)",1,1.0,True,False,"{'C': 10.0, 'class_weight': 'balanced'}",0.8135543212297176,0.01710770543515974
LinearSVC,7,title,char,"(2, 3)",1,0.9,True,False,"{'C': 3.0, 'class_weight': None}",0.813092235987593,0.017502367098308668
LinearSVC,8,title,char,"(2, 3)",1,1.0,True,False,"{'C': 3.0, 'class_weight': None}",0.813092235987593,0.017502367098308668
LogReg(OvR),1,title,char_wb,"(2, 3)",3,1.0,True,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.8121533410061978,0.024659004228418543
LogReg(OvR),2,title,char_wb,"(2, 3)",3,0.9,True,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.8121533410061978,0.024659004228418543
LinearSVC,7,title,char,"(2, 3)",1,0.9,True,False,"{'C': 3.0, 'class_weight': 'balanced'}",0.8120825355485766,0.019179678121653165
LinearSVC,8,title,char,"(2, 3)",1,1.0,True,False,"{'C': 3.0, 'class_weight': 'balanced'}",0.8120825355485766,0.019179678121653165
LogReg(OvR),6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 3.0, 'class_weight': 'balanced'}",0.8116273373300039,0.03360370506632259
LogReg(OvR),5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 3.0, 'class_weight': 'balanced'}",0.8116273373300039,0.03360370506632259
LogReg(OvR),4,title,char_wb,"(2, 3)",3,1.0,False,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.8111232054223387,0.02466319526489936
LogReg(OvR),3,title,char_wb,"(2, 3)",3,0.9,False,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.8111232054223387,0.02466319526489936
LogReg(다항),9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.8108192495862443,0.03543395474493963
LogReg(다항),10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.8108192495862443,0.03543395474493963
LinearSVC,8,title,char,"(2, 3)",1,1.0,True,False,"{'C': 30.0, 'class_weight': None}",0.8107230981414562,0.014286094862536767
LinearSVC,7,title,char,"(2, 3)",1,0.9,True,False,"{'C': 30.0, 'class_weight': None}",0.8107230981414562,0.014286094862536767
LogReg(OvR),8,title,char,"(2, 3)",1,1.0,True,False,"{'C': 3.0, 'class_weight': 'balanced'}",0.8105808854642585,0.03805357763674623
LogReg(OvR),7,title,char,"(2, 3)",1,0.9,True,False,"{'C': 3.0, 'class_weight': 'balanced'}",0.8105808854642585,0.03805357763674623
LogReg(다항),8,title,char,"(2, 3)",1,1.0,True,False,"{'C': 3.0, 'class_weight': 'balanced'}",0.8102939419738615,0.03343817383420396
LogReg(다항),7,title,char,"(2, 3)",1,0.9,True,False,"{'C': 3.0, 'class_weight': 'balanced'}",0.8102939419738615,0.03343817383420396
LinearSVC,8,title,char,"(2, 3)",1,1.0,True,False,"{'C': 30.0, 'class_weight': 'balanced'}",0.8100221993784942,0.014828911448070105
LinearSVC,7,title,char,"(2, 3)",1,0.9,True,False,"{'C': 30.0, 'class_weight': 'balanced'}",0.8100221993784942,0.014828911448070105
LogReg(다항),4,title,char_wb,"(2, 3)",3,1.0,False,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.8099288447378055,0.03330730248148371
LogReg(다항),3,title,char_wb,"(2, 3)",3,0.9,False,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.8099288447378055,0.03330730248148371
LinearSVC,10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 0.1, 'class_weight': 'balanced'}",0.8091092719293183,0.02524833562083905
LinearSVC,9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 0.1, 'class_weight': 'balanced'}",0.8091092719293183,0.02524833562083905
LogReg(OvR),1,title,char_wb,"(2, 3)",3,1.0,True,True,"{'C': 0.3, 'class_weight': 'balanced'}",0.8088008376765934,0.030914013579829563
LogReg(OvR),2,title,char_wb,"(2, 3)",3,0.9,True,True,"{'C': 0.3, 'class_weight': 'balanced'}",0.8088008376765934,0.030914013579829563
LogReg(다항),2,title,char_wb,"(2, 3)",3,0.9,True,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.8087983541962703,0.03480506043386264
LogReg(다항),1,title,char_wb,"(2, 3)",3,1.0,True,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.8087983541962703,0.03480506043386264
LogReg(OvR),3,title,char_wb,"(2, 3)",3,0.9,False,True,"{'C': 0.3, 'class_weight': 'balanced'}",0.80877455912963,0.030205555391547033
LogReg(OvR),4,title,char_wb,"(2, 3)",3,1.0,False,True,"{'C': 0.3, 'class_weight': 'balanced'}",0.80877455912963,0.030205555391547033
LogReg(OvR),9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.8086861329097198,0.035777756266257774
LogReg(OvR),10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 1.0, 'class_weight': 'balanced'}",0.8086861329097198,0.035777756266257774
LinearSVC,7,title,char,"(2, 3)",1,0.9,True,False,"{'C': 1.0, 'class_weight': None}",0.8084905008152934,0.021241114714934766
LinearSVC,8,title,char,"(2, 3)",1,1.0,True,False,"{'C': 1.0, 'class_weight': None}",0.8084905008152934,0.021241114714934766
LinearSVC,5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 3.0, 'class_weight': None}",0.8078296521316549,0.020634526686026503
LinearSVC,6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 3.0, 'class_weight': None}",0.8078296521316549,0.020634526686026503
LinearSVC,6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 0.3, 'class_weight': 'balanced'}",0.8073097820087052,0.026266535257699168
LinearSVC,5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 0.3, 'class_weight': 'balanced'}",0.8073097820087052,0.026266535257699168
LogReg(다항),6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 3.0, 'class_weight': 'balanced'}",0.8072987785693296,0.03364712882704835
LogReg(다항),5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 3.0, 'class_weight': 'balanced'}",0.8072987785693296,0.03364712882704835
LinearSVC,10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.8070246207636373,0.020510180991904485
LinearSVC,9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 3.0, 'class_weight': 'balanced'}",0.8070246207636373,0.020510180991904485
LinearSVC,1,title,char_wb,"(2, 3)",3,1.0,True,True,"{'C': 1.0, 'class_weight': None}",0.8060164511358423,0.015427529040920492
LinearSVC,2,title,char_wb,"(2, 3)",3,0.9,True,True,"{'C': 1.0, 'class_weight': None}",0.8060164511358423,0.015427529040920492
LogReg(OvR),2,title,char_wb,"(2, 3)",3,0.9,True,True,"{'C': 30.0, 'class_weight': None}",0.8058462448069859,0.027054008128417965
LogReg(OvR),1,title,char_wb,"(2, 3)",3,1.0,True,True,"{'C': 30.0, 'class_weight': None}",0.8058462448069859,0.027054008128417965
LinearSVC,6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 1.0, 'class_weight': None}",0.8051966140740818,0.02216325079770668
LinearSVC,5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 1.0, 'class_weight': None}",0.8051966140740818,0.02216325079770668
LinearSVC,4,title,char_wb,"(2, 3)",3,1.0,False,True,"{'C': 1.0, 'class_weight': None}",0.8049362424286134,0.016341330057792695
LinearSVC,3,title,char_wb,"(2, 3)",3,0.9,False,True,"{'C': 1.0, 'class_weight': None}",0.8049362424286134,0.016341330057792695
LinearSVC,1,title,char_wb,"(2, 3)",3,1.0,True,True,"{'C': 0.1, 'class_weight': 'balanced'}",0.8045537673735266,0.03876144247895877
LinearSVC,2,title,char_wb,"(2, 3)",3,0.9,True,True,"{'C': 0.1, 'class_weight': 'balanced'}",0.8045537673735266,0.03876144247895877
LinearSVC,6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 10.0, 'class_weight': 'balanced'}",0.8043981347086346,0.019703044669438737
LinearSVC,5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 10.0, 'class_weight': 'balanced'}",0.8043981347086346,0.019703044669438737
LinearSVC,3,title,char_wb,"(2, 3)",3,0.9,False,True,"{'C': 0.1, 'class_weight': 'balanced'}",0.8039454092975552,0.038887338607170696
LinearSVC,4,title,char_wb,"(2, 3)",3,1.0,False,True,"{'C': 0.1, 'class_weight': 'balanced'}",0.8039454092975552,0.038887338607170696
LinearSVC,9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 3.0, 'class_weight': None}",0.803816886233044,0.015937384516487407
LinearSVC,10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 3.0, 'class_weight': None}",0.803816886233044,0.015937384516487407
LinearSVC,9,title,char,"(2, 3)",3,1.0,True,True,"{'C': 1.0, 'class_weight': None}",0.803776366362111,0.021494460712171
LinearSVC,10,title,char,"(2, 3)",3,0.9,True,True,"{'C': 1.0, 'class_weight': None}",0.803776366362111,0.021494460712171
LinearSVC,3,title,char_wb,"(2, 3)",3,0.9,False,True,"{'C': 3.0, 'class_weight': None}",0.8036149077799116,0.018005285143308382
LinearSVC,4,title,char_wb,"(2, 3)",3,1.0,False,True,"{'C': 3.0, 'class_weight': None}",0.8036149077799116,0.018005285143308382
LinearSVC,6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 30.0, 'class_weight': 'balanced'}",0.8035908320361799,0.02030416021444802
LinearSVC,5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 30.0, 'class_weight': 'balanced'}",0.8035908320361799,0.02030416021444802
LogReg(OvR),4,title,char_wb,"(2, 3)",3,1.0,False,True,"{'C': 30.0, 'class_weight': None}",0.8032764310301452,0.027252210750930775
LogReg(OvR),3,title,char_wb,"(2, 3)",3,0.9,False,True,"{'C': 30.0, 'class_weight': None}",0.8032764310301452,0.027252210750930775
LinearSVC,6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 10.0, 'class_weight': None}",0.8031757521019758,0.01885457593350736
LinearSVC,5,title,char_wb,"(2, 3)",1,0.9,False,False,"{'C': 10.0, 'class_weight': None}",0.8031757521019758,0.01885457593350736
LinearSVC,6,title,char_wb,"(2, 3)",1,1.0,False,False,"{'C': 30.0, 'class_weight': None}",0.8028670783391236,0.01989639300230863
